address,zipcode,type,status,other_status,price,zestimate,festimate,rent_zestimate,beds,baths,area,year,reduction,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"1405 41st St, Birmingham, AL 35208",35208,SINGLE_FAMILY,FOR_SALE,House for sale,65000.0,,,850,3,2.0,1768,1930,,2,2 days on Zillow,DAYS_ON,996235,996235,https://www.zillow.com/homedetails/1405-41st-St-Birmingham-AL-35208/996235_zpid/
"2 11th Ct N, Birmingham, AL 35204",35204,SINGLE_FAMILY,FOR_SALE,House for sale,125000.0,121666,121666,850,4,2.0,1825,1954,,2,2 days on Zillow,DAYS_ON,937727,937727,https://www.zillow.com/homedetails/2-11th-Ct-N-Birmingham-AL-35204/937727_zpid/
"149 Fern St, Irondale, AL 35210",35210,SINGLE_FAMILY,FOR_SALE,House for sale,169900.0,170514,170514,1225,3,1.0,1194,1956,,2,Open: Sun. 2-4pm,OPEN_HOUSE,960658,960658,https://www.zillow.com/homedetails/149-Fern-St-Irondale-AL-35210/960658_zpid/
"752 85th St S, Birmingham, AL 35206",35206,SINGLE_FAMILY,FOR_SALE,House for sale,165000.0,159299,159299,1250,5,2.0,2794,1952,,2,2 days on Zillow,DAYS_ON,950749,950749,https://www.zillow.com/homedetails/752-85th-St-S-Birmingham-AL-35206/950749_zpid/
"1157 Redwol Dr, Birmingham, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,House for sale,116900.0,,,1025,3,2.0,1094,1982,,3,3 days on Zillow,DAYS_ON,906411,906411,https://www.zillow.com/homedetails/1157-Redwol-Dr-Birmingham-AL-35215/906411_zpid/
"213 Lawson Rd, Birmingham, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,House for sale,103900.0,103900,103900,900,3,2.0,1218,1955,,3,3 days on Zillow,DAYS_ON,909275,909275,https://www.zillow.com/homedetails/213-Lawson-Rd-Birmingham-AL-35215/909275_zpid/
"7801 2nd Ave S, Birmingham, AL 35206",35206,SINGLE_FAMILY,FOR_SALE,House for sale,155000.0,150690,150690,1250,4,2.0,1823,1920,,3,Open: Sun. 2-4pm,OPEN_HOUSE,951679,951679,https://www.zillow.com/homedetails/7801-2nd-Ave-S-Birmingham-AL-35206/951679_zpid/
"814 4th Ave W, Birmingham, AL 35204",35204,SINGLE_FAMILY,FOR_SALE,House for sale,74793.0,,,850,4,2.0,1938,1924,,3,3 days on Zillow,DAYS_ON,991558,991558,https://www.zillow.com/homedetails/814-4th-Ave-W-Birmingham-AL-35204/991558_zpid/
"504 12th St SW, Birmingham, AL 35211",35211,SINGLE_FAMILY,FOR_SALE,House for sale,64093.0,,,795,3,1.0,1334,1920,,3,3 days on Zillow,DAYS_ON,992588,992588,https://www.zillow.com/homedetails/504-12th-St-SW-Birmingham-AL-35211/992588_zpid/
"500 Roebuck Dr, Birmingham, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,House for sale,125000.0,118775,118775,935,3,2.0,1630,1927,,3,3 days on Zillow,DAYS_ON,909787,909787,https://www.zillow.com/homedetails/500-Roebuck-Dr-Birmingham-AL-35215/909787_zpid/
"1228 Tuscaloosa Ave SW, Birmingham, AL 35211",35211,MULTI_FAMILY,FOR_SALE,Apartment for sale,149900.0,149900,149900,700,2,1.0,800,1980,,3,3 days on Zillow,DAYS_ON,992561,992561,https://www.zillow.com/homedetails/1228-Tuscaloosa-Ave-SW-Birmingham-AL-35211/992561_zpid/
"4129 Avenue H, Fairfield, AL 35064",35064,SINGLE_FAMILY,FOR_SALE,House for sale,89900.0,89571,89571,850,3,2.0,1576,1925,,4,4 days on Zillow,DAYS_ON,1022419,1022419,https://www.zillow.com/homedetails/4129-Avenue-H-Fairfield-AL-35064/1022419_zpid/
"5148 Northumberland Rd, Irondale, AL 35210",35210,SINGLE_FAMILY,FOR_SALE,House for sale,179900.0,179901,179901,1100,3,2.0,1604,1964,,4,4 days on Zillow,DAYS_ON,960121,960121,https://www.zillow.com/homedetails/5148-Northumberland-Rd-Irondale-AL-35210/960121_zpid/
"224 Remington Rd, Birmingham, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,Foreclosure,69000.0,,,1025,3,2.0,1703,1971,,4,4 days on Zillow,DAYS_ON,906337,906337,https://www.zillow.com/homedetails/224-Remington-Rd-Birmingham-AL-35215/906337_zpid/
"6139 Crest Green Rd # 24, Birmingham, AL 35212",35212,CONDO,FOR_SALE,Condo for sale,50000.0,,,,2,2.0,1254,1981,,4,4 days on Zillow,DAYS_ON,2081475261,2081475261,https://www.zillow.com/homedetails/6139-Crest-Green-Rd-24-Birmingham-AL-35212/2081475261_zpid/
"1336 Ware Blvd, Birmingham, AL 35235",35235,SINGLE_FAMILY,FOR_SALE,Foreclosure,100000.0,152080,152080,1195,3,2.0,2315,1966,,4,4 days on Zillow,DAYS_ON,897589,897589,https://www.zillow.com/homedetails/1336-Ware-Blvd-Birmingham-AL-35235/897589_zpid/
"3617 Cordelia Dr, Birmingham, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,House for sale,142900.0,142900,142900,1145,3,2.0,1907,1978,,4,4 days on Zillow,DAYS_ON,885732,885732,https://www.zillow.com/homedetails/3617-Cordelia-Dr-Birmingham-AL-35215/885732_zpid/
"1300 Beacon Pkwy E, Birmingham, AL 35209",35209,CONDO,FOR_SALE,Condo for sale,149000.0,148627,148627,1295,1,1.0,1079,1981,,6,6 days on Zillow,DAYS_ON,1003461,1003461,https://www.zillow.com/homedetails/1300-Beacon-Pkwy-E-Birmingham-AL-35209/1003461_zpid/
"1519 Harrison Ln, Birmingham, AL 35215",35215,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,161382.0,161382,161382,1200,4,2.5,1740,1979,,6,6 days on Zillow,DAYS_ON,904156,904156,https://www.zillow.com/homedetails/1519-Harrison-Ln-Birmingham-AL-35215/904156_zpid/
"7328 3rd Ave S, Birmingham, AL 35206",35206,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,52035.0,52035,52035,775,2,1.0,942,1935,,6,6 days on Zillow,DAYS_ON,952938,952938,https://www.zillow.com/homedetails/7328-3rd-Ave-S-Birmingham-AL-35206/952938_zpid/
"7500 2nd Ave N, Birmingham, AL 35206",35206,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,88335.0,88335,88335,895,4,2.0,2533,1920,,6,6 days on Zillow,DAYS_ON,952805,952805,https://www.zillow.com/homedetails/7500-2nd-Ave-N-Birmingham-AL-35206/952805_zpid/
"1300 Beacon Pkwy E UNIT 606, Birmingham, AL 35209",35209,CONDO,FOR_SALE,Condo for sale,149000.0,148869,148869,925,1,1.0,1079,1981,,7,7 days on Zillow,DAYS_ON,80734611,80734611,https://www.zillow.com/homedetails/1300-Beacon-Pkwy-E-UNIT-606-Birmingham-AL-35209/80734611_zpid/
"4128 7th Ave N, Birmingham, AL 35222",35222,SINGLE_FAMILY,FOR_SALE,House for sale,62500.0,70655,70655,795,3,1.0,975,1961,,7,7 days on Zillow,DAYS_ON,963072,963072,https://www.zillow.com/homedetails/4128-7th-Ave-N-Birmingham-AL-35222/963072_zpid/
"1641 Azalea Dr, Birmingham, AL 35235",35235,SINGLE_FAMILY,FOR_SALE,Foreclosure,92000.0,108728,108728,1015,3,1.0,1104,1972,,7,7 days on Zillow,DAYS_ON,894573,894573,https://www.zillow.com/homedetails/1641-Azalea-Dr-Birmingham-AL-35235/894573_zpid/
"483 Ridge Rd, Birmingham, AL 35206",35206,SINGLE_FAMILY,FOR_SALE,House for sale,199900.0,199900,199900,1100,3,2.0,1612,1953,,7,7 days on Zillow,DAYS_ON,950506,950506,https://www.zillow.com/homedetails/483-Ridge-Rd-Birmingham-AL-35206/950506_zpid/
"821 Seven Springs Dr, Birmingham, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,House for sale,140000.0,140000,140000,1050,3,2.0,1224,1982,,8,8 days on Zillow,DAYS_ON,904069,904069,https://www.zillow.com/homedetails/821-Seven-Springs-Dr-Birmingham-AL-35215/904069_zpid/
"913 Hillcrest Ave, Birmingham, AL 35235",35235,SINGLE_FAMILY,FOR_SALE,House for sale,62400.0,,,1160,4,2.0,2307,1949,,9,9 days on Zillow,DAYS_ON,899194,899194,https://www.zillow.com/homedetails/913-Hillcrest-Ave-Birmingham-AL-35235/899194_zpid/
"9265 Briarmont Dr, Birmingham, AL 35217",35217,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,140063.0,140063,140063,1160,3,2.0,2247,1970,,9,9 days on Zillow,DAYS_ON,944600,944600,https://www.zillow.com/homedetails/9265-Briarmont-Dr-Birmingham-AL-35217/944600_zpid/
"740 Martinwood Rd, Birmingham, AL 35235",35235,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,85293.0,85293,85293,865,3,1.0,1383,1954,,9,9 days on Zillow,DAYS_ON,898876,898876,https://www.zillow.com/homedetails/740-Martinwood-Rd-Birmingham-AL-35235/898876_zpid/
"1040 Gene Reed Rd, Birmingham, AL 35235",35235,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,135559.0,135559,135559,1090,3,2.5,1344,1984,,9,9 days on Zillow,DAYS_ON,968789,968789,https://www.zillow.com/homedetails/1040-Gene-Reed-Rd-Birmingham-AL-35235/968789_zpid/
"1085 Brookstone Ln, Birmingham, AL 35235",35235,SINGLE_FAMILY,FOR_SALE,House for sale,159900.0,159900,159900,1150,2,2.0,1917,1991,,10,10 days on Zillow,DAYS_ON,898727,898727,https://www.zillow.com/homedetails/1085-Brookstone-Ln-Birmingham-AL-35235/898727_zpid/
"458 Gene Reed Rd, Birmingham, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,House for sale,129900.0,102375,102375,900,3,2.0,1350,1956,,10,10 days on Zillow,DAYS_ON,910401,910401,https://www.zillow.com/homedetails/458-Gene-Reed-Rd-Birmingham-AL-35215/910401_zpid/
"922 Chinchona Dr, Birmingham, AL 35214",35214,SINGLE_FAMILY,FOR_SALE,House for sale,69900.0,69381,69381,960,4,3.0,1656,1972,,10,10 days on Zillow,DAYS_ON,933141,933141,https://www.zillow.com/homedetails/922-Chinchona-Dr-Birmingham-AL-35214/933141_zpid/
"304 Westwood Dr, Birmingham, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,House for sale,69900.0,69504,69504,890,3,2.0,1156,1957,,10,10 days on Zillow,DAYS_ON,908961,908961,https://www.zillow.com/homedetails/304-Westwood-Dr-Birmingham-AL-35215/908961_zpid/
"7013 66th St S, Birmingham, AL 35212",35212,SINGLE_FAMILY,FOR_SALE,For sale by owner,60000.0,,,750,3,1.0,864,1959,,10,10 days on Zillow,DAYS_ON,957621,957621,https://www.zillow.com/homedetails/7013-66th-St-S-Birmingham-AL-35212/957621_zpid/
"1801 2nd Ave N # 313B, Birmingham, AL 35203",35203,CONDO,FOR_SALE,Condo for sale,194900.0,188737,188737,,1,1.0,542,-1,,10,10 days on Zillow,DAYS_ON,2083045923,2083045923,https://www.zillow.com/homedetails/1801-2nd-Ave-N-313B-Birmingham-AL-35203/2083045923_zpid/
"205 13th Ave NE, Birmingham, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,House for sale,89900.0,89135,89135,950,3,2.0,1348,1959,,10,10 days on Zillow,DAYS_ON,893075,893075,https://www.zillow.com/homedetails/205-13th-Ave-NE-Birmingham-AL-35215/893075_zpid/
"7525 4th Ave S, Birmingham, AL 35206",35206,SINGLE_FAMILY,FOR_SALE,For sale by owner,65250.0,,,750,3,1.0,1152,1948,,10,10 days on Zillow,DAYS_ON,952020,952020,https://www.zillow.com/homedetails/7525-4th-Ave-S-Birmingham-AL-35206/952020_zpid/
"1364 Stonehurst Dr, Birmingham, AL 35235",35235,SINGLE_FAMILY,FOR_SALE,House for sale,189900.0,189900,189900,1530,3,3.0,2193,1984,,10,10 days on Zillow,DAYS_ON,897099,897099,https://www.zillow.com/homedetails/1364-Stonehurst-Dr-Birmingham-AL-35235/897099_zpid/
"1273 Mims St SW, Birmingham, AL 35211",35211,SINGLE_FAMILY,FOR_SALE,House for sale,70000.0,64936,64936,800,3,1.0,1241,1956,,10,10 days on Zillow,DAYS_ON,1006310,1006310,https://www.zillow.com/homedetails/1273-Mims-St-SW-Birmingham-AL-35211/1006310_zpid/
"8645 9th Court Cir S, Birmingham, AL 35206",35206,SINGLE_FAMILY,FOR_SALE,House for sale,67500.0,,,800,3,1.0,1050,1954,"$2,400 (Jan 14)",11,"$2,400 (Jan 14)",PRICE_REDUCTION,950660,950660,https://www.zillow.com/homedetails/8645-9th-Court-Cir-S-Birmingham-AL-35206/950660_zpid/
"1340 Lake Ln NE, Birmingham, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,House for sale,89900.0,89900,89900,980,3,2.0,1536,1958,,11,11 days on Zillow,DAYS_ON,893021,893021,https://www.zillow.com/homedetails/1340-Lake-Ln-NE-Birmingham-AL-35215/893021_zpid/
"9635 Williamsburg Dr, Birmingham, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,For sale by owner,58000.0,54013,54013,750,2,2.0,1164,1987,,12,12 days on Zillow,DAYS_ON,909548,909548,https://www.zillow.com/homedetails/9635-Williamsburg-Dr-Birmingham-AL-35215/909548_zpid/
"1015 Piper Ave, Birmingham, AL 35214",35214,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,98369.0,98369,98369,975,3,2.0,1196,2005,,13,13 days on Zillow,DAYS_ON,71014817,71014817,https://www.zillow.com/homedetails/1015-Piper-Ave-Birmingham-AL-35214/71014817_zpid/
"3527 Todd Ave SW, Birmingham, AL 35221",35221,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,57415.0,57415,57415,825,3,1.0,1200,1963,,13,13 days on Zillow,DAYS_ON,1014805,1014805,https://www.zillow.com/homedetails/3527-Todd-Ave-SW-Birmingham-AL-35221/1014805_zpid/
"728 Barclay Ln, Birmingham, AL 35206",35206,SINGLE_FAMILY,FOR_SALE,House for sale,139900.0,137856,137856,1065,3,2.0,1546,1957,,13,13 days on Zillow,DAYS_ON,969039,969039,https://www.zillow.com/homedetails/728-Barclay-Ln-Birmingham-AL-35206/969039_zpid/
"2800 Wenonah Oxmoor Rd SW, Birmingham, AL 35211",35211,SINGLE_FAMILY,FOR_SALE,House for sale,130000.0,129620,129620,1275,4,4.0,3320,1965,,14,14 days on Zillow,DAYS_ON,1014501,1014501,https://www.zillow.com/homedetails/2800-Wenonah-Oxmoor-Rd-SW-Birmingham-AL-35211/1014501_zpid/
"100 8th Ct SW, Birmingham, AL 35211",35211,SINGLE_FAMILY,FOR_SALE,House for sale,129900.0,129901,129901,850,4,2.0,1256,1957,,15,15 days on Zillow,DAYS_ON,1001400,1001400,https://www.zillow.com/homedetails/100-8th-Ct-SW-Birmingham-AL-35211/1001400_zpid/
"6145 Mountain Ridge Rd, Trussville, AL 35173",35173,SINGLE_FAMILY,FOR_SALE,House for sale,160000.0,160000,160000,1200,2,2.0,1325,1982,,15,15 days on Zillow,DAYS_ON,968412,968412,https://www.zillow.com/homedetails/6145-Mountain-Ridge-Rd-Trussville-AL-35173/968412_zpid/
"430 E Ventura Dr, Birmingham, AL 35235",35235,SINGLE_FAMILY,FOR_SALE,Auction,65859.0,115876,115876,950,3,2.0,1157,1956,,15,15 days on Zillow,DAYS_ON,899791,899791,https://www.zillow.com/homedetails/430-E-Ventura-Dr-Birmingham-AL-35235/899791_zpid/
"312 Yellowstone Dr, Birmingham, AL 35206",35206,SINGLE_FAMILY,FOR_SALE,House for sale,179500.0,179500,179500,1250,4,3.0,2786,1977,$400 (Jan 10),15,$400 (Jan 10),PRICE_REDUCTION,969435,969435,https://www.zillow.com/homedetails/312-Yellowstone-Dr-Birmingham-AL-35206/969435_zpid/
"1249 Pine Tree Dr, Birmingham, AL 35235",35235,SINGLE_FAMILY,FOR_SALE,House for sale,73000.0,71336,71336,995,4,2.0,2405,1971,,15,15 days on Zillow,DAYS_ON,897681,897681,https://www.zillow.com/homedetails/1249-Pine-Tree-Dr-Birmingham-AL-35235/897681_zpid/
"455 Pinellas St, Birmingham, AL 35206",35206,SINGLE_FAMILY,FOR_SALE,House for sale,150000.0,,,1049,3,3.0,2996,1960,,15,15 days on Zillow,DAYS_ON,950320,950320,https://www.zillow.com/homedetails/455-Pinellas-St-Birmingham-AL-35206/950320_zpid/
"2201 1st Ave N # 700-C, Birmingham, AL 35203",35203,CONDO,FOR_SALE,Condo for sale,189000.0,188210,188210,1450,1,1.0,945,1924,"$10,000 (Jan 14)",17,"$10,000 (Jan 14)",PRICE_REDUCTION,80748686,80748686,https://www.zillow.com/homedetails/2201-1st-Ave-N-700-C-Birmingham-AL-35203/80748686_zpid/
"7221 Naples Ave, Birmingham, AL 35206",35206,SINGLE_FAMILY,FOR_SALE,For sale by owner,65000.0,86932,86932,795,3,3.0,1300,1974,,19,19 days on Zillow,DAYS_ON,952208,952208,https://www.zillow.com/homedetails/7221-Naples-Ave-Birmingham-AL-35206/952208_zpid/
"224 Red Lane Rd, Birmingham, AL 35215",35215,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,81142.0,81142,81142,850,3,1.0,1250,1956,,20,20 days on Zillow,DAYS_ON,910387,910387,https://www.zillow.com/homedetails/224-Red-Lane-Rd-Birmingham-AL-35215/910387_zpid/
"5725 Court O, Birmingham, AL 35228",35228,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,72434.0,72434,72434,825,3,1.5,1233,1958,,20,20 days on Zillow,DAYS_ON,1008981,1008981,https://www.zillow.com/homedetails/5725-Court-O-Birmingham-AL-35228/1008981_zpid/
"600 Rollingwood Rd, Birmingham, AL 35235",35235,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,107172.0,107172,107172,950,3,1.5,1258,1955,,20,20 days on Zillow,DAYS_ON,899085,899085,https://www.zillow.com/homedetails/600-Rollingwood-Rd-Birmingham-AL-35235/899085_zpid/
"1117 Springville Ln, Birmingham, AL 35215",35215,TOWNHOUSE,FOR_SALE,Townhouse for sale,109900.0,109900,109900,950,3,3.0,1596,1985,,21,21 days on Zillow,DAYS_ON,897979,897979,https://www.zillow.com/homedetails/1117-Springville-Ln-Birmingham-AL-35215/897979_zpid/
"1020 Pineview Rd, Birmingham, AL 35228",35228,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,52694.0,52694,52694,845,3,1.5,1146,1963,,21,21 days on Zillow,DAYS_ON,1009627,1009627,https://www.zillow.com/homedetails/1020-Pineview-Rd-Birmingham-AL-35228/1009627_zpid/
"2030 15th Ave N, Birmingham, AL 35234",35234,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,84197.0,84197,84197,850,3,1.0,1454,1930,,21,21 days on Zillow,DAYS_ON,935971,935971,https://www.zillow.com/homedetails/2030-15th-Ave-N-Birmingham-AL-35234/935971_zpid/
"221 59th Way S, Birmingham, AL 35212",35212,SINGLE_FAMILY,FOR_SALE,House for sale,67900.0,63311,63311,750,2,1.0,1350,1930,,22,22 days on Zillow,DAYS_ON,956619,956619,https://www.zillow.com/homedetails/221-59th-Way-S-Birmingham-AL-35212/956619_zpid/
"1002 T St, Birmingham, AL 35235",35235,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,91071.0,91071,91071,895,3,1.0,1305,1950,,22,22 days on Zillow,DAYS_ON,899482,899482,https://www.zillow.com/homedetails/1002-T-St-Birmingham-AL-35235/899482_zpid/
"1329 47th St, Birmingham, AL 35208",35208,SINGLE_FAMILY,FOR_SALE,Foreclosure,64900.0,,,850,3,1.0,1840,1925,,24,24 days on Zillow,DAYS_ON,996668,996668,https://www.zillow.com/homedetails/1329-47th-St-Birmingham-AL-35208/996668_zpid/
"1920 Castleberry Way, Birmingham, AL 35214",35214,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,77550.0,77550,77550,815,3,1.0,1050,1983,,25,25 days on Zillow,DAYS_ON,934007,934007,https://www.zillow.com/homedetails/1920-Castleberry-Way-Birmingham-AL-35214/934007_zpid/
"823 46th St N, Birmingham, AL 35212",35212,SINGLE_FAMILY,FOR_SALE,For sale by owner,50000.0,,,750,3,1.0,1064,1930,,26,26 days on Zillow,DAYS_ON,956118,956118,https://www.zillow.com/homedetails/823-46th-St-N-Birmingham-AL-35212/956118_zpid/
"2380 7th St NW, Center Point, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,House for sale,189900.0,189900,189900,1100,4,2.0,1696,1973,"$10,000 (Jan 7)",28,"$10,000 (Jan 7)",PRICE_REDUCTION,901639,901639,https://www.zillow.com/homedetails/2380-7th-St-NW-Center-Point-AL-35215/901639_zpid/
"1417 Paragon Pkwy, Birmingham, AL 35235",35235,SINGLE_FAMILY,FOR_SALE,Auction,99245.0,191760,191760,1300,3,3.0,2648,1989,,28,28 days on Zillow,DAYS_ON,899517,899517,https://www.zillow.com/homedetails/1417-Paragon-Pkwy-Birmingham-AL-35235/899517_zpid/
"420 Lance Ln, Birmingham, AL 35206",35206,SINGLE_FAMILY,FOR_SALE,House for sale,140000.0,,,1000,3,2.0,1819,1969,"$5,000 (Dec 30)",28,"$5,000 (Dec 30)",PRICE_REDUCTION,950362,950362,https://www.zillow.com/homedetails/420-Lance-Ln-Birmingham-AL-35206/950362_zpid/
"628 Chestnut St, Birmingham, AL 35206",35206,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,162717.0,162717,162717,1200,4,2.0,1900,1962,,28,28 days on Zillow,DAYS_ON,943746,943746,https://www.zillow.com/homedetails/628-Chestnut-St-Birmingham-AL-35206/943746_zpid/
"2690 Goss St, Birmingham, AL 35211",35211,SINGLE_FAMILY,PRE_FORECLOSURE,Pre-foreclosure / Auction,96089.0,96089,96089,895,3,1.0,1351,1967,,29,29 days on Zillow,DAYS_ON,1015434,1015434,https://www.zillow.com/homedetails/2690-Goss-St-Birmingham-AL-35211/1015434_zpid/
"1316 24th St SW, Birmingham, AL 35211",35211,SINGLE_FAMILY,FOR_SALE,House for sale,65000.0,59095,59095,795,3,1.0,984,1950,,30,30 days on Zillow,DAYS_ON,1007973,1007973,https://www.zillow.com/homedetails/1316-24th-St-SW-Birmingham-AL-35211/1007973_zpid/
"1619 Graymont Ave W, Birmingham, AL 35208",35208,SINGLE_FAMILY,FOR_SALE,Coming soon,139900.0,,,790,3,2.0,1172,1950,,30,On market Jan 17,MARKET_UPDATE,941135,941135,https://www.zillow.com/homedetails/1619-Graymont-Ave-W-Birmingham-AL-35208/941135_zpid/
"3208 32nd Pl N, Birmingham, AL 35207",35207,SINGLE_FAMILY,FOR_SALE,Coming soon,139900.0,,,750,3,1.0,1388,1936,,30,On market Jan 17,MARKET_UPDATE,929911,929911,https://www.zillow.com/homedetails/3208-32nd-Pl-N-Birmingham-AL-35207/929911_zpid/
